2018-Jun-07 00:31:35.431428 TRACE   [node_server] [144.217.150.133:51605 INC] Exception in connectionHandler: TcpConnection::read
2018-Jun-07 00:31:35.431478 DEBUG   [node_server] [144.217.150.133:51605 INC] Interrupt connection
2018-Jun-07 00:31:35.431557 DEBUG   [node_server] [144.217.150.133:51605 INC] writeHandler finished
2018-Jun-07 00:31:35.431605 TRACE   [node_server] [144.217.150.133:51605 INC] CLOSE CONNECTION
2018-Jun-07 00:31:35.460801 DEBUG   [node_server] [96.44.175.218:63039 INC] Back ping connection to 96.44.175.218:15715 failed: TcpConnector::connect, connection failed
2018-Jun-07 00:31:35.460965 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:35.461047 TRACE   [protocol] [96.44.175.218:63039 INC] Starting synchronization
2018-Jun-07 00:31:35.461120 TRACE   [protocol] [96.44.175.218:63039 INC] -->>NOTIFY_REQUEST_CHAIN: m_block_ids.size()=1
2018-Jun-07 00:31:35.461201 DEBUG   [node_server] [96.44.175.218:63039 INC] msg 1:1001
2018-Jun-07 00:31:35.461282 DEBUG   [node_server] [96.44.175.218:63039 INC] msg 2:2006
2018-Jun-07 00:31:35.690306 DEBUG   [node_server] [96.44.175.218:63039 INC] Interrupt connection
2018-Jun-07 00:31:35.690515 DEBUG   [node_server] [96.44.175.218:63039 INC] writeHandler finished
2018-Jun-07 00:31:35.690606 TRACE   [node_server] [96.44.175.218:63039 INC] CLOSE CONNECTION
2018-Jun-07 00:31:35.690682 TRACE   [protocol] Observed height updated: 1
2018-Jun-07 00:31:37.431486 DEBUG   [node_server] Connecting to 144.217.150.133:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:37.432328 TRACE   [node_server] [144.217.150.133:55950 INC] NEW CONNECTION
2018-Jun-07 00:31:37.432461 DEBUG   [node_server] [144.217.150.133:55950 INC] writeHandler started
2018-Jun-07 00:31:37.433306 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:37.433394 DEBUG   [node_server] [144.217.150.133:55950 INC] msg 1:1001
2018-Jun-07 00:31:37.433495 DEBUG   [node_server] [144.217.150.133:55950 INC] msg 2:2008
2018-Jun-07 00:31:37.433574 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: TIME_DELTA: 0, remote peerlist size=0
